54,CZ4725886873566716010054,890705/7345,2023-03-28 09:30:41.381000,1998-05-17 13:27:41.000000,Pavlik@Uvarsisam.cu,Pavel,300,Uvařsisám,48000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 773 744 105,ROLE_EMPLOYEE,DiS,,pavuva59,,80018
67,CZ6327526923522123393469,881112/2390,2022-11-11 09:27:53.000000,1998-04-06 17:35:33.000000,qggjftovgy@test.com,Jana,550,Novák,88000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 608 211 881,ROLE_WORKER,,,jhodges,,8009
70,CZ2843604760438218938011,891016/5555,2022-06-22 13:29:18.000000,1997-08-08 19:53:55.000000,yelrobylpzr@test.com,Petr,200,Procházka,32000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 775 835 654,ROLE_MANAGER,MBA,PhDr.,amitchell,,80017
74,CZ7861416139210106972143,950425/4444,2022-01-28 07:33:42.000000,1997-10-10 20:17:44.000000,jvmufheqdey@email.net,David,250,Navrátil,40000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,"+420 732 616 933
",ROLE_MECHANICAL_ENGINEER,,,jhernandez,,8007
75,CZ4428561245052823188689,800505/2354,2021-12-25 14:44:59.000000,1998-01-23 06:56:19.000000,zdcosblvsk@test.net,Kateřina,250,Matějka,40000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 773 205 166,ROLE_MECHANICAL_ENGINEER,,,bdavis,,8006
52,CZ6500324848361067889065,790822/1234,2023-03-28 09:30:40.958000,1997-12-28 09:59:22.000000,email@email.cz,Ondřej,300,Bureš,48000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 737 615 926,ROLE_ADMIN,,,ondbur74,,80016
77,CZ6501489451731012009436,931117/7856,2021-10-16 09:42:11.000000,1997-04-18 01:33:39.000000,crsmfbnurzi@email.net,Eliška,100,Poláček,16000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,"+420 603 421 032
",ROLE_DRIVER,,Bc.,mlee,,80022
71,CZ5531435225697532635833,780301/6789,2022-05-14 19:48:56.000000,1998-07-13 08:36:43.000000,dgrlpxsdvfi@email.net,Barbora,300,Horák,48000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 731 925 828,ROLE_REPORTER,,,ljohnson,,8008
53,CZ7252625248711482163725,970223/4381,2023-03-28 09:30:41.265000,1998-02-01 21:47:05.000000,Jan@Bořek.com,Jan,300,Bořek,48000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 604 859 481,ROLE_WORKER,,,janboř43,,80015
76,CZ3052486412828753896526,921002/1573,2021-11-21 16:55:21.000000,1998-06-24 15:08:08.000000,srdfqevqkyg@test.com,Jakub,100,Jelínek,16000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 737 287 014,ROLE_CONSTRUCTION_MANAGER,,Ing.,abrown,,80023
73,CZ6678779428080709785301,870711/8888,2022-03-02 15:22:36.000000,1998-09-02 03:20:07.000000,wvcgcnswbz@test.com,Anna,250,Vacek,40000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 604 338 992,ROLE_WAREHOUSE_MANAGER,Th.D.,,nramirez,,8004
68,CZ4117012334811303241908,841015/3125,2022-09-15 17:55:44.000000,1997-06-19 04:12:14.000000,bvltnpnltefz@email.net,Milan,200,Svoboda,32000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 777 176 662,ROLE_WORKER,,Ing.,krodriguez,,80020
72,CZ3861069230148177543878,"990223/9876
",2022-04-07 11:11:11.000000,1997-11-03 12:40:51.000000,kxckxipzgrwy@test.net,Martin,300,Král,48000,$2a$10$rlDQ2Mz1/ENlVtp7yrMDOOb4vJ7a7439tgMya1Ng9uRA8yPPyBmMK,+420 721 248 109,ROLE_REPORTER,Th.D.,,ksmith,,80021
